epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1167,4.1595,2.37038,0.90203,0.39305,0.37669,0.22019,0.04732,3.59585,1.27071,0.72584,0.000552398,0.000552398,0.000552398
2,123.388,3.52767,1.20104,0.68921,0.52805,0.67863,0.56119,0.17735,3.37407,1.00405,0.67873,0.00108613,0.00108613,0.00108613
3,163.673,3.30917,1.05665,0.6728,0.60723,0.70875,0.61124,0.27029,3.23163,0.95477,0.67106,0.00159785,0.00159785,0.00159785
4,204.764,3.18615,0.98855,0.66499,0.73347,0.79233,0.79548,0.3969,2.76861,0.81256,0.65854,0.00156798,0.00156798,0.00156798
5,245.821,3.11346,0.94661,0.66107,0.78857,0.79942,0.80666,0.39228,2.77224,0.8101,0.66157,0.00153497,0.00153497,0.00153497
6,288.285,3.03808,0.91398,0.66074,0.79902,0.77298,0.80795,0.37197,2.88709,0.84295,0.66926,0.00150197,0.00150197,0.00150197
7,330.927,2.98959,0.88978,0.6577,0.74264,0.75363,0.79858,0.38551,2.82016,0.87997,0.66542,0.00146896,0.00146896,0.00146896
8,373.397,2.90452,0.86628,0.66015,0.80665,0.81792,0.83064,0.41928,2.70281,0.74973,0.65659,0.00143595,0.00143595,0.00143595
9,416.469,2.89726,0.85658,0.65532,0.84646,0.84711,0.85575,0.50475,2.54717,0.72436,0.65777,0.00140295,0.00140295,0.00140295
10,458.819,2.84826,0.84183,0.65254,0.88679,0.8537,0.8728,0.50477,2.47677,0.68356,0.65936,0.00136994,0.00136994,0.00136994
11,502.293,2.7901,0.82615,0.65344,0.86394,0.85518,0.88149,0.45345,2.56473,0.70209,0.65819,0.00133693,0.00133693,0.00133693
12,545.175,2.81,0.82601,0.65045,0.86666,0.83588,0.85431,0.47916,2.6337,0.70998,0.65563,0.00130393,0.00130393,0.00130393
13,587.87,2.73035,0.80252,0.6496,0.88643,0.85505,0.88894,0.57188,2.33494,0.67815,0.65242,0.00127092,0.00127092,0.00127092
14,631.272,2.68633,0.79137,0.64856,0.90302,0.86522,0.89801,0.57525,2.34853,0.63704,0.65167,0.00123791,0.00123791,0.00123791
15,679.369,2.66205,0.78889,0.6484,0.88833,0.87021,0.89467,0.52442,2.46274,0.68883,0.65416,0.00120491,0.00120491,0.00120491
16,728.033,2.6523,0.77951,0.64637,0.89546,0.87392,0.89795,0.54815,2.35712,0.66318,0.65122,0.0011719,0.0011719,0.0011719
17,774.162,2.67869,0.78793,0.64262,0.8999,0.87049,0.90089,0.53048,2.30078,0.63313,0.65675,0.00113889,0.00113889,0.00113889
18,821.334,2.59993,0.7663,0.64524,0.9201,0.86058,0.90364,0.56973,2.29017,0.63521,0.65073,0.00110589,0.00110589,0.00110589
19,869.862,2.57719,0.7583,0.64325,0.90403,0.86672,0.90217,0.59094,2.25246,0.62126,0.65077,0.00107288,0.00107288,0.00107288
20,912.519,2.56469,0.7501,0.64314,0.90663,0.88687,0.91346,0.59402,2.24419,0.62202,0.65058,0.00103987,0.00103987,0.00103987
21,956.202,2.52147,0.739,0.64402,0.91046,0.87747,0.90763,0.62258,2.2071,0.60072,0.65026,0.00100687,0.00100687,0.00100687
22,998.684,2.55266,0.74362,0.642,0.91936,0.86793,0.90954,0.58987,2.33787,0.63468,0.65169,0.000973861,0.000973861,0.000973861
23,1042.71,2.51616,0.73354,0.64228,0.90832,0.88491,0.9133,0.62509,2.18444,0.60423,0.64762,0.000940855,0.000940855,0.000940855
