epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,197.708,2.17164,4.22839,4.41488,1.70432,0,0.00526,0.02666,0.00521,0.00186,0.00216,0.01267,0.00172,0.00055,1.81834,3.32909,4.42278,1.61917,0,0.000748216,0.000249405,0.000748216,0.000249405,0.000748216,0.000249405,0.000748216,0.000249405
2,387.748,1.96087,3.28165,4.29294,1.53993,0,0.00711,0.03577,0.00841,0.00293,0.00313,0.01877,0.00237,0.00075,1.6651,2.87183,4.3004,1.46908,0,0.0015022,0.000500732,0.0015022,0.000500732,0.0015022,0.000500732,0.0015022,0.000500732
3,568.669,1.79201,2.87833,4.04527,1.39895,0,0.01487,0.07733,0.02379,0.01054,0.00749,0.04121,0.00872,0.00252,1.58264,2.63557,3.95951,1.36807,0,0.00224095,0.000746983,0.00224095,0.000746983,0.00224095,0.000746983,0.00224095,0.000746983
4,748.463,1.76107,2.74933,3.63273,1.35972,0,0.83561,0.04934,0.05329,0.02785,0.93993,0.01923,0.02287,0.00688,1.63234,2.52267,3.21418,1.37212,0,0.00223848,0.000746161,0.00223848,0.000746161,0.00223848,0.000746161,0.00223848,0.000746161
5,924.472,1.76241,2.6348,3.10792,1.34949,0,0.93751,0.06163,0.06114,0.03306,0.92005,0.02545,0.02407,0.00819,1.62547,2.47524,2.53177,1.35795,0,0.00221564,0.000738548,0.00221564,0.000738548,0.00221564,0.000738548,0.00221564,0.000738548
6,1104.54,1.70471,2.52521,2.60286,1.33473,0,0.87575,0.14145,0.11717,0.0692,0.85653,0.08994,0.07338,0.03242,1.599,2.42629,2.49891,1.36116,0,0.0021928,0.000730935,0.0021928,0.000730935,0.0021928,0.000730935,0.0021928,0.000730935
7,1293.42,1.71697,2.54005,2.33805,1.33499,0,0.90346,0.12413,0.1368,0.0844,0.87913,0.09794,0.09592,0.04471,1.54644,2.35652,2.23741,1.32084,0,0.00216996,0.000723321,0.00216996,0.000723321,0.00216996,0.000723321,0.00216996,0.000723321
8,1471.51,1.64452,2.46678,2.19126,1.31136,0,0.89413,0.132,0.15109,0.09413,0.89037,0.09438,0.10682,0.04678,1.54568,2.34557,2.12416,1.31285,0,0.00214712,0.000715708,0.00214712,0.000715708,0.00214712,0.000715708,0.00214712,0.000715708
9,1646.03,1.62616,2.43046,2.05683,1.2928,0,0.89102,0.13632,0.164,0.09916,0.88922,0.09736,0.11563,0.05143,1.52709,2.32611,2.03342,1.30438,0,0.00212429,0.000708095,0.00212429,0.000708095,0.00212429,0.000708095,0.00212429,0.000708095
10,1819.27,1.59745,2.43075,1.98159,1.28344,0,0.79777,0.13154,0.1717,0.10537,0.78029,0.09582,0.11957,0.05409,1.47118,2.29778,1.89056,1.27273,0,0.00210145,0.000700482,0.00210145,0.000700482,0.00210145,0.000700482,0.00210145,0.000700482
11,1995.48,1.57375,2.40582,1.87691,1.27074,0,0.7313,0.18342,0.17594,0.10762,0.69951,0.1383,0.12448,0.05421,1.45798,2.27655,1.80035,1.26903,0,0.00207861,0.000692869,0.00207861,0.000692869,0.00207861,0.000692869,0.00207861,0.000692869
12,2178.46,1.56582,2.38155,1.80098,1.2568,0,0.75335,0.17618,0.17915,0.11002,0.7284,0.14043,0.12905,0.05831,1.44663,2.26764,1.75354,1.26746,0,0.00205577,0.000685256,0.00205577,0.000685256,0.00205577,0.000685256,0.00205577,0.000685256
13,2369.48,1.55898,2.34989,1.76008,1.26537,0,0.74909,0.1921,0.18689,0.11453,0.73513,0.13896,0.1336,0.05728,1.42908,2.24229,1.70081,1.26309,0,0.00203293,0.000677643,0.00203293,0.000677643,0.00203293,0.000677643,0.00203293,0.000677643
14,2551.1,1.52437,2.32824,1.69047,1.24451,0,0.76448,0.18095,0.19652,0.1212,0.74222,0.1445,0.14272,0.06423,1.42122,2.24341,1.66978,1.25188,0,0.00201009,0.00067003,0.00201009,0.00067003,0.00201009,0.00067003,0.00201009,0.00067003
15,2738.02,1.52939,2.31116,1.67029,1.24451,0,0.77211,0.19753,0.20792,0.12953,0.75008,0.14801,0.15413,0.06859,1.40793,2.22313,1.63536,1.25795,0,0.00198725,0.000662417,0.00198725,0.000662417,0.00198725,0.000662417,0.00198725,0.000662417
16,2918.2,1.49695,2.32878,1.61702,1.23499,0,0.78328,0.19207,0.21093,0.13006,0.76464,0.15676,0.1574,0.06853,1.40999,2.20329,1.62164,1.24398,0,0.00196441,0.000654804,0.00196441,0.000654804,0.00196441,0.000654804,0.00196441,0.000654804
17,3097.55,1.48372,2.30592,1.60082,1.22273,0,0.79447,0.19541,0.22001,0.13322,0.78949,0.15344,0.16447,0.07088,1.39981,2.20682,1.59282,1.23683,0,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719
18,3280.48,1.47546,2.31997,1.59635,1.21639,0,0.80245,0.20694,0.22882,0.13818,0.76483,0.16181,0.17089,0.07332,1.38937,2.20784,1.56421,1.23568,0,0.00191873,0.000639577,0.00191873,0.000639577,0.00191873,0.000639577,0.00191873,0.000639577
19,3465.02,1.47564,2.27705,1.56803,1.21545,0,0.8021,0.20731,0.23468,0.14304,0.77126,0.17545,0.1802,0.08076,1.37781,2.17748,1.54593,1.23335,0,0.00189589,0.000631964,0.00189589,0.000631964,0.00189589,0.000631964,0.00189589,0.000631964
20,3652.53,1.43509,2.24751,1.51985,1.19525,0,0.77292,0.22157,0.23845,0.14428,0.79,0.16071,0.17788,0.07631,1.38645,2.19223,1.53836,1.23396,0,0.00187305,0.000624351,0.00187305,0.000624351,0.00187305,0.000624351,0.00187305,0.000624351
21,3832.12,1.44435,2.26277,1.51464,1.20918,0,0.82617,0.20226,0.24213,0.14566,0.7952,0.16175,0.17689,0.0753,1.37914,2.20735,1.51452,1.22977,0,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738
22,4019.04,1.44545,2.27408,1.51795,1.20857,0,0.79875,0.21448,0.24199,0.14571,0.78114,0.16809,0.18138,0.07889,1.37915,2.1944,1.5034,1.23116,0,0.00182737,0.000609125,0.00182737,0.000609125,0.00182737,0.000609125,0.00182737,0.000609125
23,4203.92,1.42245,2.24655,1.50318,1.19015,0,0.78981,0.21908,0.24691,0.1467,0.764,0.18147,0.18616,0.07938,1.37811,2.17226,1.50013,1.22571,0,0.00180454,0.000601512,0.00180454,0.000601512,0.00180454,0.000601512,0.00180454,0.000601512
24,4393.89,1.42889,2.24813,1.48604,1.17866,0,0.79882,0.23192,0.25044,0.14842,0.75285,0.1844,0.18406,0.07778,1.37368,2.19112,1.48278,1.22332,0,0.0017817,0.000593899,0.0017817,0.000593899,0.0017817,0.000593899,0.0017817,0.000593899
25,4578.58,1.40893,2.23656,1.48181,1.18739,0,0.76093,0.24375,0.2513,0.15006,0.72402,0.19515,0.18283,0.07604,1.37365,2.1974,1.47308,1.22331,0,0.00175886,0.000586286,0.00175886,0.000586286,0.00175886,0.000586286,0.00175886,0.000586286
26,4754.05,1.42174,2.24657,1.46336,1.18434,0,0.69779,0.26398,0.25658,0.15339,0.66001,0.21627,0.18972,0.08098,1.36964,2.16769,1.46945,1.22431,0,0.00173602,0.000578672,0.00173602,0.000578672,0.00173602,0.000578672,0.00173602,0.000578672
27,4929.22,1.41412,2.22512,1.44619,1.18527,0,0.69265,0.26452,0.25271,0.14951,0.65974,0.21565,0.18417,0.07712,1.38035,2.17223,1.47934,1.22798,0,0.00171318,0.000571059,0.00171318,0.000571059,0.00171318,0.000571059,0.00171318,0.000571059
28,5114.8,1.38661,2.22218,1.44177,1.17221,0,0.68355,0.26919,0.25604,0.15483,0.61939,0.2206,0.18971,0.0809,1.35994,2.15953,1.45784,1.21858,0,0.00169034,0.000563446,0.00169034,0.000563446,0.00169034,0.000563446,0.00169034,0.000563446
29,5300.77,1.39266,2.22346,1.44443,1.16879,0,0.70698,0.26466,0.2583,0.15548,0.63,0.21842,0.19311,0.08415,1.35822,2.15413,1.45835,1.21784,0,0.0016675,0.000555833,0.0016675,0.000555833,0.0016675,0.000555833,0.0016675,0.000555833
30,5478.6,1.39727,2.22255,1.44533,1.18273,0,0.65318,0.26187,0.25963,0.15423,0.6202,0.21483,0.18948,0.0779,1.36546,2.17565,1.45543,1.21787,0,0.00164466,0.00054822,0.00164466,0.00054822,0.00164466,0.00054822,0.00164466,0.00054822
31,5654.35,1.37872,2.17949,1.40486,1.16844,0,0.65298,0.26515,0.26165,0.15639,0.62183,0.21431,0.1913,0.08036,1.35664,2.15867,1.44664,1.21297,0,0.00162182,0.000540607,0.00162182,0.000540607,0.00162182,0.000540607,0.00162182,0.000540607
32,5827.88,1.36594,2.16857,1.40498,1.15474,0,0.65663,0.2738,0.26271,0.15825,0.62795,0.22532,0.19685,0.08371,1.35124,2.14646,1.43206,1.21149,0,0.00159898,0.000532994,0.00159898,0.000532994,0.00159898,0.000532994,0.00159898,0.000532994
33,6000.54,1.3548,2.16841,1.41343,1.15421,0,0.66955,0.26464,0.26235,0.15656,0.63949,0.21991,0.19531,0.08138,1.35488,2.16172,1.435,1.21546,0,0.00157614,0.000525381,0.00157614,0.000525381,0.00157614,0.000525381,0.00157614,0.000525381
34,6174.45,1.36776,2.16485,1.39423,1.16714,0,0.70596,0.26763,0.26288,0.15813,0.65436,0.21997,0.19559,0.08136,1.35101,2.15002,1.42647,1.21866,0,0.0015533,0.000517768,0.0015533,0.000517768,0.0015533,0.000517768,0.0015533,0.000517768
35,6357.67,1.35671,2.18353,1.39838,1.16616,0,0.72731,0.26636,0.26529,0.15792,0.63925,0.21754,0.1957,0.0819,1.35942,2.14677,1.43074,1.21587,0,0.00153046,0.000510155,0.00153046,0.000510155,0.00153046,0.000510155,0.00153046,0.000510155
36,6543.32,1.37043,2.18149,1.37642,1.15946,0,0.72695,0.27765,0.2656,0.15967,0.63547,0.23114,0.20074,0.08563,1.35458,2.11042,1.40776,1.2133,0,0.00150762,0.000502541,0.00150762,0.000502541,0.00150762,0.000502541,0.00150762,0.000502541
37,6718.46,1.34233,2.15966,1.37659,1.1515,0,0.68436,0.26262,0.26671,0.16362,0.65647,0.22212,0.20382,0.08735,1.34108,2.11214,1.40357,1.20846,0,0.00148479,0.000494928,0.00148479,0.000494928,0.00148479,0.000494928,0.00148479,0.000494928
38,6894.82,1.34968,2.16394,1.38783,1.15371,0,0.67008,0.27203,0.26673,0.16131,0.64206,0.22449,0.20077,0.08489,1.33912,2.11512,1.39816,1.20532,0,0.00146195,0.000487315,0.00146195,0.000487315,0.00146195,0.000487315,0.00146195,0.000487315
39,7070.02,1.33666,2.13554,1.37163,1.14921,0,0.74172,0.2736,0.26424,0.15974,0.67557,0.23019,0.20205,0.08605,1.3401,2.1204,1.39446,1.20494,0,0.00143911,0.000479702,0.00143911,0.000479702,0.00143911,0.000479702,0.00143911,0.000479702
40,7244.34,1.3458,2.15556,1.34917,1.15175,0,0.71918,0.27693,0.26857,0.16115,0.64966,0.22551,0.1993,0.08441,1.35516,2.12702,1.3997,1.21049,0,0.00141627,0.000472089,0.00141627,0.000472089,0.00141627,0.000472089,0.00141627,0.000472089
41,7419.27,1.34266,2.17214,1.34955,1.15418,0,0.69891,0.27617,0.26589,0.15828,0.64099,0.21247,0.19188,0.07755,1.35847,2.14309,1.42508,1.21116,0,0.00139343,0.000464476,0.00139343,0.000464476,0.00139343,0.000464476,0.00139343,0.000464476
42,7592.94,1.34002,2.17187,1.35548,1.15262,0,0.68057,0.2657,0.26742,0.16002,0.54043,0.20339,0.19063,0.07762,1.34517,2.14777,1.41632,1.21068,0,0.00137059,0.000456863,0.00137059,0.000456863,0.00137059,0.000456863,0.00137059,0.000456863
43,7768.72,1.3345,2.13513,1.33765,1.14899,0,0.71264,0.27099,0.26731,0.15971,0.53857,0.21806,0.19404,0.0792,1.34946,2.14079,1.41478,1.21246,0,0.00134775,0.00044925,0.00134775,0.00044925,0.00134775,0.00044925,0.00134775,0.00044925
44,7943.41,1.33825,2.14021,1.34169,1.14958,0,0.68969,0.28054,0.267,0.15959,0.64502,0.21346,0.19302,0.08152,1.36104,2.12805,1.41795,1.21853,0,0.00132491,0.000441637,0.00132491,0.000441637,0.00132491,0.000441637,0.00132491,0.000441637
45,8115.92,1.31699,2.13805,1.32925,1.14015,0,0.69947,0.27642,0.27082,0.16198,0.54189,0.23076,0.20096,0.08473,1.34353,2.11208,1.39623,1.20789,0,0.00130207,0.000434024,0.00130207,0.000434024,0.00130207,0.000434024,0.00130207,0.000434024
46,8292.24,1.33508,2.10776,1.35594,1.14788,0,0.6957,0.27203,0.27126,0.16182,0.5355,0.22504,0.20463,0.08722,1.35683,2.1192,1.39176,1.21253,0,0.00127923,0.000426411,0.00127923,0.000426411,0.00127923,0.000426411,0.00127923,0.000426411
47,8465.12,1.29536,2.12708,1.31725,1.12907,0,0.69197,0.27197,0.27495,0.16439,0.55945,0.23426,0.20801,0.09022,1.34001,2.10644,1.38821,1.20302,0,0.00125639,0.000418797,0.00125639,0.000418797,0.00125639,0.000418797,0.00125639,0.000418797
48,8640.82,1.31173,2.13878,1.32618,1.14002,0,0.70131,0.26844,0.27125,0.16363,0.57447,0.22838,0.20601,0.08469,1.34141,2.11228,1.39119,1.20402,0,0.00123355,0.000411184,0.00123355,0.000411184,0.00123355,0.000411184,0.00123355,0.000411184
49,8823.24,1.29886,2.12522,1.31646,1.13352,0,0.70045,0.2708,0.2703,0.16306,0.53613,0.22099,0.19781,0.08309,1.34479,2.13471,1.39611,1.20798,0,0.00121071,0.000403571,0.00121071,0.000403571,0.00121071,0.000403571,0.00121071,0.000403571
50,9020.17,1.29162,2.11365,1.2961,1.12767,0,0.72522,0.27209,0.27207,0.1634,0.5389,0.22409,0.19991,0.08354,1.34152,2.1154,1.39239,1.20756,0,0.00118787,0.000395958,0.00118787,0.000395958,0.00118787,0.000395958,0.00118787,0.000395958
51,9215.78,1.29345,2.11404,1.31281,1.13241,0,0.68877,0.28446,0.27779,0.16789,0.54437,0.22904,0.2066,0.08801,1.3276,2.10233,1.37366,1.2009,0,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345,0.00116504,0.000388345
52,9420.22,1.28446,2.10263,1.29339,1.12501,0,0.68613,0.27357,0.27646,0.16542,0.55481,0.20614,0.20066,0.08368,1.33515,2.13768,1.39343,1.20358,0,0.0011422,0.000380732,0.0011422,0.000380732,0.0011422,0.000380732,0.0011422,0.000380732
53,9618.04,1.30668,2.10925,1.29004,1.13702,0,0.66632,0.28574,0.27703,0.16573,0.55385,0.237,0.20314,0.08297,1.32986,2.1077,1.38494,1.20337,0,0.00111936,0.000373119,0.00111936,0.000373119,0.00111936,0.000373119,0.00111936,0.000373119
